loc,send,const
171531,4882,1964
171611,4883,1965
171663,4883,1966
171715,4883,1967
171819,4883,1968
171900,4888,1969
171965,4889,1971
172041,4892,1973
172098,4892,1975
172179,4893,1977
172261,4896,1978
172333,4896,1979
172430,4898,1980
172444,4900,1980
172471,4900,1983
172753,4909,1985
172775,4909,1985
172780,4909,1985
172804,4909,1986
172839,4910,1986
172996,4917,1988
173090,4928,1989
173124,4930,1993
173148,4931,1993
173154,4931,1993
173158,4931,1993
173159,4931,1993
173262,4934,1997
173362,4940,1998
173432,4950,2001
173474,4956,2003
173504,4956,2004
173521,4956,2004
173560,4958,2004
173609,4963,2004
173617,4963,2004
173976,4974,2011
174365,5007,2014
174427,5013,2014
174459,5016,2015
174551,5028,2016
174585,5031,2017
174668,5039,2019
174727,5041,2020
174767,5046,2023
174891,5055,2028
174943,5058,2028
175018,5066,2033
175047,5067,2033
175253,5084,2042
175313,5086,2043
175353,5087,2044
175435,5088,2047
175470,5091,2047
175568,5097,2047
175571,5097,2047
175741,5107,2047
175804,5107,2047
175935,5112,2047
175936,5112,2047
175971,5112,2047
176138,5116,2048
176319,5119,2049
176361,5122,2051
176643,5135,2052
176700,5136,2055
176928,5145,2062
177291,5164,2077
177347,5164,2080
177362,5164,2080
177441,5168,2082
177916,5175,2084
178192,5181,2087
178276,5183,2088
178334,5183,2089
178370,5183,2090
178380,5183,2091
178398,5184,2091
178717,5189,2094
178746,5190,2096
178751,5191,2097
178758,5193,2097
178826,5198,2102
178872,5200,2103
178936,5205,2103
178973,5207,2104
179051,5215,2110
179087,5221,2114
179116,5221,2115
179130,5221,2115
179132,5221,2115
179150,5221,2115
179163,5223,2116
179190,5224,2116
179221,5228,2117
179252,5228,2117
179299,5231,2117
179330,5231,2117
179431,5236,2122
179563,5241,2123
179665,5242,2124
179741,5243,2125
179758,5246,2129
179792,5253,2130
179843,5255,2132
179847,5257,2132
179851,5257,2132
179855,5257,2132
179859,5257,2132
179863,5257,2132
179947,5258,2132
180314,5262,2133
180323,5262,2133
180389,5262,2133
180560,5266,2135
181062,5279,2137
181172,5284,2138
181285,5284,2139
181353,5286,2139
181751,5305,2142
182020,5307,2144
182087,5310,2144
182155,5310,2145
182337,5318,2146
182362,5318,2146
182387,5318,2146
182405,5320,2146
182513,5321,2146
182644,5324,2146
