loc,size,total_nodes,file
419201,174958,1062718,data/aws-sdk-ruby/lib/aws/s3/errors.rb
420664,175403,1064541,data/aws-sdk-ruby/lib/aws/s3/prefixed_collection.rb
423806,176303,1068049,data/aws-sdk-ruby/lib/aws/s3/uploaded_part_collection.rb
424973,176535,1069197,data/aws-sdk-ruby/lib/aws/simple_db/domain_metadata.rb
426314,176878,1070713,data/aws-sdk-ruby/lib/aws/simple_email_service/email_address_collection.rb
427743,177223,1072350,data/aws-sdk-ruby/lib/aws/simple_workflow/client.rb
429407,177599,1074180,data/aws-sdk-ruby/lib/aws/simple_workflow/request.rb
431302,177916,1076146,data/aws-sdk-ruby/lib/aws/sns/errors.rb
432526,178247,1077721,data/aws-sdk-ruby/lib/aws/sns.rb
434226,178653,1079685,data/aws-sdk-ruby/lib/aws/storage_gateway/client.rb
434614,178690,1079893,data/aws-sdk-ruby/lib/aws/sts/session.rb
435046,178774,1080383,data/aws-sdk-ruby/samples/cloud_watch/alarm_with_custom_metrics.rb
435901,179142,1082375,data/aws-sdk-ruby/spec/aws/auto_scaling/group_collection_spec.rb
437944,180182,1087428,data/aws-sdk-ruby/spec/aws/auto_scaling/scheduled_action_collection_spec.rb
439590,180887,1091168,data/aws-sdk-ruby/spec/aws/cloud_formation/stack_spec.rb
440872,181464,1094223,data/aws-sdk-ruby/spec/aws/cloud_watch_spec.rb
444510,183527,1103854,data/aws-sdk-ruby/spec/aws/core/http/handler_spec.rb
447081,184937,1110417,data/aws-sdk-ruby/spec/aws/core/options/validator_spec.rb
451125,187023,1120389,data/aws-sdk-ruby/spec/aws/dynamo_db/batch_get_spec.rb
453804,188532,1128604,data/aws-sdk-ruby/spec/aws/dynamo_db/types_spec.rb
455689,189395,1132711,data/aws-sdk-ruby/spec/aws/ec2/dhcp_options_spec.rb
459666,191146,1142490,data/aws-sdk-ruby/spec/aws/ec2/key_pair_collection_spec.rb
461119,191866,1145841,data/aws-sdk-ruby/spec/aws/ec2/reserved_instances_offering_collection_spec.rb
463421,192844,1151693,data/aws-sdk-ruby/spec/aws/ec2/snapshot_collection_spec.rb
465340,193678,1156373,data/aws-sdk-ruby/spec/aws/ec2/vpn_connection_spec.rb
467093,194517,1160314,data/aws-sdk-ruby/spec/aws/elb/load_balancer_policy_spec.rb
468889,195319,1164249,data/aws-sdk-ruby/spec/aws/iam/access_key_spec.rb
470008,195742,1166751,data/aws-sdk-ruby/spec/aws/iam/request_spec.rb
471759,196422,1170771,data/aws-sdk-ruby/spec/aws/iam/virtual_mfa_device_spec.rb
473691,197413,1175322,data/aws-sdk-ruby/spec/aws/record/hash_model_spec.rb
476325,198808,1182482,data/aws-sdk-ruby/spec/aws/record/validations/acceptance_spec.rb
478368,199371,1188107,data/aws-sdk-ruby/spec/aws/record_spec.rb
480810,200488,1193678,data/aws-sdk-ruby/spec/aws/s3/bucket_lifecycle_configuration_spec.rb
486140,202918,1207128,data/aws-sdk-ruby/spec/aws/s3/object_collection_spec.rb
490134,204756,1216677,data/aws-sdk-ruby/spec/aws/s3/tree/branch_node_spec.rb
491779,205545,1220839,data/aws-sdk-ruby/spec/aws/simple_db/attribute_spec.rb
493785,206608,1225795,data/aws-sdk-ruby/spec/aws/simple_email_service/client_spec.rb
495503,207398,1229849,data/aws-sdk-ruby/spec/aws/simple_workflow/count_spec.rb
498191,208684,1236551,data/aws-sdk-ruby/spec/aws/simple_workflow_spec.rb
499395,209184,1239304,data/aws-sdk-ruby/spec/aws/sns_spec.rb
501441,210086,1244276,data/aws-sdk-ruby/spec/aws/sts/policy_spec.rb
502189,210419,1245780,data/aws-sdk-ruby/spec/shared/accepts_configuration_examples.rb
503635,211028,1249096,data/aws-sdk-ruby/spec/shared/collection/yields_models_examples.rb
504608,211442,1250887,data/aws-sdk-ruby/spec/shared/ec2/public_private_accessor_examples.rb
505899,212035,1254019,data/aws-sdk-ruby/spec/shared/policy_examples.rb
507460,212687,1257736,data/aws-sdk-ruby/spec/shared/s3/model_object_examples.rb
